csd_id,name,smiles1,smiles2,year,functionality,group
HOJLUO,"N-(4-((6-(4-Trifluoromethylphenyl)pyrimidin-4-yl)oxy)-1,3-benzothiazol-2-yl)acetamide trans-3-phenylpropenoic acid",CC(=O)NC1=NC2=C(C=CC=C2S1)OC3=NC=NC(=C3)C4=CC=C(C=C4)C(F)(F)F,C1=CC=C(C=C1)/C=C/C(=O)O,2008,h-bond,2
HOJMAV,"N-(4-((6-(4-Trifluoromethylphenyl)pyrimidin-4-yl)oxy)-1,3-benzothiazol-2-yl)acetamide trans-hex-2-enoic acid",CC(=O)NC1=NC2=C(C=CC=C2S1)OC3=NC=NC(=C3)C4=CC=C(C=C4)C(F)(F)F,CCC/C=C/C(=O)O,2008,h-bond,2
HONSOT,bis(3-Hydroxybenzoic acid) pyrazine,C1=CC(=CC(=C1)O)C(=O)O,C1=CN=CC=N1,2008,h-bond,2
HONSUZ,"bis(4-Hydroxybenzoic acid) 1,2-bis(4-pyridyl)ethane",C1=CN=CC=C1CCC2=CC=NC=C2,C1=CC(=CC=C1C(=O)O)O,2008,h-bond,2
HONTAG,4-Hydroxybenzoic acid 4-phenylpyridine,C1=CC=C(C=C1)C2=CC=NC=C2,C1=CC(=CC=C1C(=O)O)O,2008,h-bond,2
HONTEK,bis(4-Hydroxybenzoic acid) pyrazine,C1=CC(=CC=C1C(=O)O)O,C1=CN=CC=N1,2008,h-bond,2
HONTOU,3-Hydroxybenzoic acid bis(4-phenylpyridine),C1=CC=C(C=C1)C2=CC=NC=C2,C1=CC(=CC(=C1)O)C(=O)O,2008,h-bond,2
HONTUA,"3-Hydroxybenzoic acid 1,2-bis(4-pyridyl)ethane",C1=CN=CC=C1CCC2=CC=NC=C2,C1=CC(=CC(=C1)O)C(=O)O,2008,h-bond,2
HONVAI,"3-Hydroxybenzoic acid 4,4'-bipyridine",C1=CN=CC=C1C2=CC=NC=C2,C1=CC(=CC(=C1)O)C(=O)O,2008,h-bond,2
HONVEM,3-Hydroxybenzoic acid quinoxaline,C1=CC(=CC(=C1)O)C(=O)O,C1=CC=C2C(=C1)N=CC=N2,2008,h-bond,2
HONVIQ,"bis(3-Hydroxybenzoic acid) tris(2,3,5,6-tetramethylpyrazine)",C1=CC(=CC(=C1)O)C(=O)O,CC1=C(N=C(C(=N1)C)C)C,2008,h-bond,2
HONVOW,"6-Hydroxy-2-naphthoic acid trans-1,2-bis(4-pyridyl)ethene",C1=CC2=C(C=CC(=C2)O)C=C1C(=O)O,C1=CN=CC=C1/C=C/C2=CC=NC=C2,2008,h-bond,2
HONVUC,"4-Hydroxybenzoic acid trans-1,2-bis(4-pyridyl)ethene",C1=CN=CC=C1/C=C/C2=CC=NC=C2,C1=CC(=CC=C1C(=O)O)O,2008,h-bond,2
HONWAJ,"3-Hydroxybenzoic acid trans-1,2-bis(4-pyridyl)ethene",C1=CN=CC=C1/C=C/C2=CC=NC=C2,C1=CC(=CC(=C1)O)C(=O)O,2008,h-bond,2
HORNAE,Exemestane maleic acid,C[C@@]12CC[C@@H]3[C@@H]([C@H]1CCC2=O)CC(=C)C4=CC(=O)C=C[C@@]34C,C(=C\C(=O)O)\C(=O)O,2008,h-bond,2
